"","Date","Name","QC_Flag","QA_Flag","Reservoir_Capacity_ac_ft","Reservoir_Storage_Volume_Previous_Year_ac_ft","Reservoir_Storage_Volume_ac_ft","Median_Reservoir_Storage_Volume_1981_2010_ac_ft","Source"
"46","2022-08-01","Woodruff Narrows Reservoir",NA,"",57300,7394,14612,27900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"47","2022-09-01","Bear Lake",NA,"",1302000,567153,431242,490100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"48","2022-09-01","Big Sand Wash Reservoir",NA,"",25700,2790,3264,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"49","2022-09-01","Causey Reservoir",NA,"U",7100,3283,3946,3500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"50","2022-09-01","Cleveland Lake",NA,"",5400,720,2805,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"51","2022-09-01","Currant Creek Reservoir",NA,"U",15500,14644,14705,14800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"52","2022-09-01","Deer Creek Reservoir",NA,"U",149700,95656,79065,103800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"53","2022-09-01","East Canyon Reservoir",NA,"U",49500,22801,28416,34400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"54","2022-09-01","Echo Reservoir",NA,"U",73900,10711,43348,30500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"55","2022-09-01","Flaming Gorge Reservoir",NA,"U",3749000,3015777,2735239,3247000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"56","2022-09-01","Grantsville Reservoir",NA,"",3300,1325,1096,1070,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"57","2022-09-01","Gunlock",NA,"",10400,4500,4682,6500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"58","2022-09-01","Gunnison Reservoir",NA,"",20300,0,0,2500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"59","2022-09-01","Huntington North Reservoir",NA,"U",4200,1307,2117,1860,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"60","2022-09-01","Hyrum Reservoir",NA,"U",15300,2930,5371,4100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"61","2022-09-01","Joes Valley Reservoir",NA,"U",61600,24117,32717,44800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"62","2022-09-01","Jordanelle Reservoir",NA,"U",314000,175109,209803,256400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"63","2022-09-01","Ken's Lake",NA,"",2300,773,1891,1030,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"64","2022-09-01","Lake Powell",NA,"U",24322000,7510963,5937930,14686000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"65","2022-09-01","Lost Creek Reservoir",NA,"U",22500,9782,10104,15100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"66","2022-09-01","Lower Enterprise",NA,"",2600,1566,648,400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"67","2022-09-01","Miller Flat Reservoir",NA,"",5200,1333,1338,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"68","2022-09-01","Millsite",NA,"",16700,3535,11222,11100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"69","2022-09-01","Minersville Reservoir",NA,"",23300,2775,1367,3800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"70","2022-09-01","Moon Lake Reservoir",NA,"U",35800,12820,15340,10700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"71","2022-09-01","Otter Creek Reservoir",NA,"",52500,7925,4855,19100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"72","2022-09-01","Panguitch Lake",NA,"",22300,6000,6200,10900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"73","2022-09-01","Pineview Reservoir",NA,"U",110100,21545,45487,61700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"74","2022-09-01","Piute Reservoir",NA,"",71800,2530,567,13000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"75","2022-09-01","Porcupine Reservoir",NA,"",11300,3285,6715,5900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"76","2022-09-01","Quail Creek",NA,"",40000,26039,24648,26900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"77","2022-09-01","Red Fleet Reservoir",NA,"U",25700,9998,9575,19100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"78","2022-09-01","Rockport Reservoir",NA,"U",60900,16386,42328,44300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"79","2022-09-01","Sand Hollow Reservoir",NA,"",50000,35637,32229,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"80","2022-09-01","Scofield Reservoir",NA,"U",65800,19023,16977,27200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"81","2022-09-01","Settlement Canyon Reservoir",NA,"",1000,187,177,300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"82","2022-09-01","Yuba Reservoir",NA,"",236000,19470,4697,58300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"83","2022-09-01","Smith And Morehouse Reservoir",NA,"U",8100,5070,6521,5000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"84","2022-09-01","Starvation Reservoir",NA,"U",164118,102196,106423,126100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"85","2022-09-01","Stateline Reservoir",NA,"U",12000,5272,7344,6800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"86","2022-09-01","Steinaker Reservoir",NA,"U",33400,3131,11111,14700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"87","2022-09-01","Strawberry Reservoir",NA,"U",1105900,822658,813067,877800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"88","2022-09-01","Upper Enterprise Reservoir",NA,"",10000,634,507,550,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"89","2022-09-01","Utah Lake",NA,"U",870900,463303,361152,624600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"90","2022-09-01","Willard Bay",NA,"U",215000,87732,72048,146500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"91","2022-09-01","Woodruff Creek",NA,"",4000,1050,1530,650,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"92","2022-09-01","Woodruff Narrows Reservoir",NA,"",57300,6584,11932,26800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"93","2022-10-01","Bear Lake",NA,"",1302000,519773,381597,449700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"94","2022-10-01","Big Sand Wash Reservoir",NA,"",25700,1692,2906,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"95","2022-10-01","Causey Reservoir",NA,"U",7100,2998,2074,2400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"96","2022-10-01","Cleveland Lake",NA,"",5400,720,2968,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"97","2022-10-01","Currant Creek Reservoir",NA,"U",15500,15252,15133,14700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"98","2022-10-01","Deer Creek Reservoir",NA,"U",149700,88656,62895,97600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"99","2022-10-01","East Canyon Reservoir",NA,"U",49500,21516,25067,30600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"100","2022-10-01","Echo Reservoir",NA,"U",73900,8259,36642,20700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"101","2022-10-01","Flaming Gorge Reservoir",NA,"U",3749000,2949700,2679648,3201000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"102","2022-10-01","Grantsville Reservoir",NA,"",3300,1300,679,800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"103","2022-10-01","Gunlock",NA,"",10400,4322,3809,5900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"104","2022-10-01","Gunnison Reservoir",NA,"",20300,0,0,750,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"105","2022-10-01","Huntington North Reservoir",NA,"U",4200,1194,1948,1360,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"106","2022-10-01","Hyrum Reservoir",NA,"U",15300,2490,5088,4200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"107","2022-10-01","Joes Valley Reservoir",NA,"U",61600,21768,29734,40300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"108","2022-10-01","Jordanelle Reservoir",NA,"U",314000,160443,196572,241400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"109","2022-10-01","Ken's Lake",NA,"",2300,724,1612,700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"110","2022-10-01","Lake Powell",NA,"U",24322000,7257712,5797422,14488000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"111","2022-10-01","Lost Creek Reservoir",NA,"U",22500,8799,8813,13500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"112","2022-10-01","Lower Enterprise",NA,"",2600,984,350,300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"113","2022-10-01","Miller Flat Reservoir",NA,"",5200,1332,1248,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"114","2022-10-01","Millsite",NA,"",16700,3277,8376,10200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"115","2022-10-01","Minersville Reservoir",NA,"",23300,1668,1186,2800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"116","2022-10-01","Moon Lake Reservoir",NA,"U",35800,9143,15180,10200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"117","2022-10-01","Otter Creek Reservoir",NA,"",52500,7376,3841,19200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"118","2022-10-01","Panguitch Lake",NA,"",22300,4500,5953,12900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"119","2022-10-01","Pineview Reservoir",NA,"U",110100,17011,36362,50800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"120","2022-10-01","Piute Reservoir",NA,"",71800,2610,1515,12900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"121","2022-10-01","Porcupine Reservoir",NA,"",11300,2810,5047,4800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"122","2022-10-01","Quail Creek",NA,"",40000,24073,24512,24900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"123","2022-10-01","Red Fleet Reservoir",NA,"U",25700,8147,7552,17300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"124","2022-10-01","Rockport Reservoir",NA,"U",60900,15876,33610,39000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"125","2022-10-01","Sand Hollow Reservoir",NA,"",50000,34949,29459,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"126","2022-10-01","Scofield Reservoir",NA,"U",65800,13720,11626,22800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"127","2022-10-01","Settlement Canyon Reservoir",NA,"",1000,149,170,300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"128","2022-10-01","Yuba Reservoir",NA,"",236000,20764,4508,59700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"129","2022-10-01","Smith And Morehouse Reservoir",NA,"U",8100,5180,4952,4400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"130","2022-10-01","Starvation Reservoir",NA,"U",164118,96556,98843,122800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"131","2022-10-01","Stateline Reservoir",NA,"U",12000,3823,5206,5100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"132","2022-10-01","Steinaker Reservoir",NA,"U",33400,2525,8947,11400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"133","2022-10-01","Strawberry Reservoir",NA,"U",1105900,811275,802636,865500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"134","2022-10-01","Upper Enterprise Reservoir",NA,"",10000,623,558,500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"135","2022-10-01","Utah Lake",NA,"U",870900,413845,318252,599700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"136","2022-10-01","Willard Bay",NA,"U",215000,78557,72048,140100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"137","2022-10-01","Woodruff Creek",NA,"",4000,1260,1728,600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"138","2022-10-01","Woodruff Narrows Reservoir",NA,"",57300,10275,11780,26600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"139","2022-11-01","Bear Lake",NA,"",1302000,525676,358502,431000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"140","2022-11-01","Big Sand Wash Reservoir",NA,"",25700,4967,6430,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"141","2022-11-01","Causey Reservoir",NA,"U",7100,3348,2597,2700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"142","2022-11-01","Cleveland Lake",NA,"",5400,720,2968,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"143","2022-11-01","Currant Creek Reservoir",NA,"U",15500,15097,14755,14700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"144","2022-11-01","Deer Creek Reservoir",NA,"U",149700,92241,60835,100500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"145","2022-11-01","East Canyon Reservoir",NA,"U",49500,22903,25654,31200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"146","2022-11-01","Echo Reservoir",NA,"U",73900,12536,39345,24400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"147","2022-11-01","Flaming Gorge Reservoir",NA,"U",3749000,2917576,2629855,3167000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"148","2022-11-01","Grantsville Reservoir",NA,"",3300,1454,813,800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"149","2022-11-01","Gunlock",NA,"",10400,4322,3809,6000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"150","2022-11-01","Gunnison Reservoir",NA,"",20300,0,0,900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"151","2022-11-01","Huntington North Reservoir",NA,"U",4200,1569,2172,1090,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"152","2022-11-01","Hyrum Reservoir",NA,"U",15300,4541,6980,6700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"153","2022-11-01","Joes Valley Reservoir",NA,"U",61600,21228,29525,39300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"154","2022-11-01","Jordanelle Reservoir",NA,"U",314000,159545,190335,235100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"155","2022-11-01","Ken's Lake",NA,"",2300,773,1583,640,"https://wcc.sc.egov.usda.gov/reportGenerator/"
